"","dynamicColors","mergedColors"
"A1BG","turquoise","turquoise"
"A2M","greenyellow","greenyellow"
"A2ML1","grey","grey"
"A3GALT2","grey","grey"
"A4GALT","purple","purple"
"AAAS","brown","pink"
"AACS","grey","grey"
"AADAT","grey","grey"
"AAGAB","grey","grey"
"AAK1","grey","grey"
"AAMDC","turquoise","turquoise"
"AAMP","magenta","pink"
"AANAT","turquoise","turquoise"
"AAR2","grey","grey"
"AARS","grey","grey"
"AARS2","pink","pink"
"AARSD1","yellow","black"
"AASDH","red","black"
"AASDHPPT","red","black"
"AASS","grey","grey"
"AATF","grey","grey"
"AATK","turquoise","turquoise"
"ABAT","turquoise","turquoise"
"ABCA1","grey","grey"
"ABCA10","grey","grey"
"ABCA12","lightcyan","lightcyan"
"ABCA13","grey","grey"
"ABCA2","brown","pink"
"ABCA3","grey","grey"
"ABCA5","grey","grey"
"ABCA6","grey","grey"
"ABCA7","grey","grey"
"ABCA9","grey","grey"
"ABCB1","grey","grey"
"ABCB10","grey","grey"
"ABCB4","purple","purple"
"ABCB6","purple","purple"
"ABCB7","black","black"
"ABCB8","grey","grey"
"ABCB9","grey","grey"
"ABCC1","grey","grey"
"ABCC10","brown","pink"
"ABCC2","grey","grey"
"ABCC3","turquoise","turquoise"
"ABCC4","grey","grey"
"ABCC5","purple","purple"
"ABCC6","grey","grey"
"ABCD1","turquoise","turquoise"
"ABCD2","greenyellow","greenyellow"
"ABCD3","grey","grey"
"ABCD4","brown","pink"
"ABCE1","black","black"
"ABCF1","grey","grey"
"ABCF2","grey","grey"
"ABCF3","brown","pink"
"ABCG1","grey","grey"
"ABCG2","purple","purple"
"ABHD1","grey","grey"
"ABHD10","red","black"
"ABHD11","turquoise","turquoise"
"ABHD12","magenta","pink"
"ABHD12B","grey","grey"
"ABHD13","pink","pink"
"ABHD14A","pink","pink"
"ABHD14B","tan","tan"
"ABHD15","grey","grey"
"ABHD16A","grey","grey"
"ABHD17A","brown","pink"
"ABHD17B","grey","grey"
"ABHD17C","grey","grey"
"ABHD18","red","black"
"ABHD2","grey","grey"
"ABHD3","grey","grey"
"ABHD4","grey","grey"
"ABHD5","turquoise","turquoise"
"ABHD6","turquoise","turquoise"
"ABHD8","magenta","pink"
"ABI1","blue","black"
"ABI2","grey","grey"
"ABI3","turquoise","turquoise"
"ABL1","pink","pink"
"ABL2","green","black"
"ABLIM1","greenyellow","greenyellow"
"ABLIM3","grey","grey"
"ABO","grey","grey"
"ABR","grey","grey"
"ABRA","lightcyan","lightcyan"
"ABRACL","brown","pink"
"ABT1","magenta","pink"
"ABTB1","grey","grey"
"ABTB2","grey","grey"
"ACAA1","red","black"
"ACAA2","grey","grey"
"ACACA","green","black"
"ACACB","grey","grey"
"ACAD10","grey","grey"
"ACAD11","grey","grey"
"ACAD8","grey","grey"
"ACAD9","grey","grey"
"ACADM","black","black"
"ACADS","magenta","pink"
"ACADSB","green","black"
"ACADVL","brown","pink"
"ACAP1","brown","pink"
"ACAP2","pink","pink"
"ACAP3","brown","pink"
"ACAT1","grey","grey"
"ACAT2","cyan","cyan"
"ACBD3","red","black"
"ACBD4","brown","pink"
"ACBD5","blue","black"
"ACBD6","turquoise","turquoise"
"ACBD7","grey","grey"
"ACCS","grey","grey"
"ACD","brown","pink"
"ACE","grey","grey"
"ACER1","greenyellow","greenyellow"
"ACER2","grey","grey"
"ACER3","turquoise","turquoise"
"ACHE","purple","purple"
"ACIN1","grey","grey"
"ACKR1","purple","purple"
"ACKR2","grey","grey"
"ACKR3","grey","grey"
"ACKR4","lightcyan","lightcyan"
"ACLY","grey","grey"
"ACMSD","blue","black"
"ACO1","grey","grey"
"ACO2","grey","grey"
"ACOT1","grey","grey"
"ACOT11","grey","grey"
"ACOT13","red","black"
"ACOT2","grey","grey"
"ACOT4","grey","grey"
"ACOT6","grey","grey"
"ACOT7","pink","pink"
"ACOT8","brown","pink"
"ACOT9","turquoise","turquoise"
"ACOX1","red","black"
"ACOX2","grey","grey"
"ACOX3","grey","grey"
"ACP1","tan","tan"
"ACP2","turquoise","turquoise"
"ACP5","grey","grey"
"ACP6","grey","grey"
"ACPP","turquoise","turquoise"
"ACR","grey","grey"
"ACRBP","grey","grey"
"ACRV1","cyan","cyan"
"ACSBG1","purple","purple"
"ACSBG2","yellow","black"
"ACSF2","grey","grey"
"ACSF3","grey","grey"
"ACSL1","turquoise","turquoise"
"ACSL3","grey","grey"
"ACSL4","black","black"
"ACSL5","black","black"
"ACSL6","purple","purple"
"ACSM1","turquoise","turquoise"
"ACSM3","turquoise","turquoise"
"ACSM6","grey","grey"
"ACSS1","grey","grey"
"ACSS2","turquoise","turquoise"
"ACTA1","grey","grey"
"ACTA2","grey","grey"
"ACTB","turquoise","turquoise"
"ACTG1","grey","grey"
"ACTL10","grey","grey"
"ACTL6A","black","black"
"ACTL6B","grey","grey"
"ACTN1","grey","grey"
"ACTN4","magenta","pink"
"ACTR10","brown","pink"
"ACTR1A","turquoise","turquoise"
"ACTR1B","magenta","pink"
"ACTR2","brown","pink"
"ACTR3","pink","pink"
"ACTR3B","grey","grey"
"ACTR3C","blue","black"
"ACTR5","brown","pink"
"ACTR6","black","black"
"ACTR8","green","black"
"ACTRT3","grey","grey"
"ACVR1","grey","grey"
"ACVR1B","turquoise","turquoise"
"ACVR2A","greenyellow","greenyellow"
"ACVR2B","grey","grey"
"ACVRL1","turquoise","turquoise"
"ACY1","grey","grey"
"ACY3","grey","grey"
"ACYP1","yellow","black"
"ACYP2","yellow","black"
"ADA","grey","grey"
"ADAL","green","black"
"ADAM10","blue","black"
"ADAM11","grey","grey"
"ADAM12","grey","grey"
"ADAM15","magenta","pink"
"ADAM17","grey","grey"
"ADAM19","greenyellow","greenyellow"
"ADAM20","lightcyan","lightcyan"
"ADAM21","grey","grey"
"ADAM22","turquoise","turquoise"
"ADAM28","grey","grey"
"ADAM32","grey","grey"
"ADAM8","grey","grey"
"ADAM9","turquoise","turquoise"
"ADAMDEC1","turquoise","turquoise"
"ADAMTS1","grey","grey"
"ADAMTS10","grey","grey"
"ADAMTS13","brown","pink"
"ADAMTS14","grey","grey"
"ADAMTS17","greenyellow","greenyellow"
"ADAMTS2","grey","grey"
"ADAMTS3","grey","grey"
"ADAMTS6","grey","grey"
"ADAMTS7","grey","grey"
"ADAMTSL2","grey","grey"
"ADAMTSL4","turquoise","turquoise"
"ADAMTSL5","greenyellow","greenyellow"
"ADAP1","turquoise","turquoise"
"ADAP2","turquoise","turquoise"
"ADAR","grey","grey"
"ADARB1","grey","grey"
"ADARB2","grey","grey"
"ADAT1","grey","grey"
"ADAT2","yellow","black"
"ADAT3","brown","pink"
"ADCK1","grey","grey"
"ADCK2","grey","grey"
"ADCK5","brown","pink"
"ADCY10","purple","purple"
"ADCY3","grey","grey"
"ADCY4","grey","grey"
"ADCY6","grey","grey"
"ADCY7","turquoise","turquoise"
"ADCY9","turquoise","turquoise"
"ADD1","grey","grey"
"ADD2","purple","purple"
"ADD3","turquoise","turquoise"
"ADGRA2","grey","grey"
"ADGRA3","turquoise","turquoise"
"ADGRB1","grey","grey"
"ADGRD1","turquoise","turquoise"
"ADGRE1","turquoise","turquoise"
"ADGRE2","grey","grey"
"ADGRE3","turquoise","turquoise"
"ADGRE5","grey","grey"
"ADGRF3","grey","grey"
"ADGRG1","grey","grey"
"ADGRG2","grey","grey"
"ADGRG3","grey","grey"
"ADGRG5","grey","grey"
"ADGRG6","grey","grey"
"ADGRL1","grey","grey"
"ADGRL2","salmon","salmon"
"ADGRL4","salmon","salmon"
"ADH1A","grey","grey"
"ADH4","lightcyan","lightcyan"
"ADH5","black","black"
"ADH6","grey","grey"
"ADHFE1","grey","grey"
"ADI1","grey","grey"
"ADIPOR1","grey","grey"
"ADIPOR2","grey","grey"
"ADK","black","black"
"ADM","turquoise","turquoise"
"ADM2","turquoise","turquoise"
"ADM5","pink","pink"
"ADNP","green","black"
"ADNP2","grey","grey"
"ADO","grey","grey"
"ADORA2A","grey","grey"
"ADORA2B","grey","grey"
"ADORA3","turquoise","turquoise"
"ADPGK","grey","grey"
"ADPRH","turquoise","turquoise"
"ADPRHL1","grey","grey"
"ADPRHL2","grey","grey"
"ADPRM","yellow","black"
"ADRA1D","grey","grey"
"ADRA2A","grey","grey"
"ADRA2C","grey","grey"
"ADRB1","grey","grey"
"ADRB2","grey","grey"
"ADRM1","magenta","pink"
"ADSL","black","black"
"ADSS","red","black"
"ADSSL1","grey","grey"
"ADTRP","greenyellow","greenyellow"
"AEBP1","turquoise","turquoise"
"AEBP2","red","black"
"AEN","grey","grey"
"AFAP1","grey","grey"
"AFAP1L1","grey","grey"
"AFAP1L2","grey","grey"
"AFF1","grey","grey"
"AFF2","salmon","salmon"
"AFF3","grey","grey"
"AFF4","blue","black"
"AFG3L2","black","black"
"AFMID","grey","grey"
"AFTPH","brown","pink"
"AGA","grey","grey"
"AGAP1","purple","purple"
"AGAP2","grey","grey"
"AGAP3","grey","grey"
"AGAP4","brown","pink"
"AGAP5","grey","grey"
"AGAP9","grey","grey"
"AGBL2","grey","grey"
"AGBL3","yellow","black"
"AGBL5","turquoise","turquoise"
"AGER","grey","grey"
"AGFG1","turquoise","turquoise"
"AGFG2","purple","purple"
"AGGF1","black","black"
"AGK","green","black"
"AGL","red","black"
"AGMAT","grey","grey"
"AGMO","grey","grey"
"AGO1","blue","black"
"AGO2","blue","black"
"AGO3","blue","black"
"AGO4","turquoise","turquoise"
"AGPAT1","grey","grey"
"AGPAT2","magenta","pink"
"AGPAT3","turquoise","turquoise"
"AGPAT4","grey","grey"
"AGPAT5","green","black"
"AGPS","black","black"
"AGR2","grey","grey"
"AGRN","turquoise","turquoise"
"AGRP","grey","grey"
"AGT","grey","grey"
"AGTPBP1","grey","grey"
"AGTR1","purple","purple"
"AGTRAP","turquoise","turquoise"
"AHCTF1","blue","black"
"AHCY","pink","pink"
"AHCYL1","black","black"
"AHCYL2","blue","black"
"AHDC1","pink","pink"
"AHI1","green","black"
"AHNAK","turquoise","turquoise"
"AHNAK2","grey","grey"
"AHR","turquoise","turquoise"
"AHRR","grey","grey"
"AHSA1","grey","grey"
"AHSP","purple","purple"
"AIDA","red","black"
"AIF1","turquoise","turquoise"
"AIF1L","grey","grey"
"AIFM1","black","black"
"AIFM2","grey","grey"
"AIFM3","turquoise","turquoise"
"AIG1","turquoise","turquoise"
"AIM2","turquoise","turquoise"
"AIMP1","black","black"
"AIMP2","grey","grey"
"AIP","magenta","pink"
"AJUBA","grey","grey"
"AK1","greenyellow","greenyellow"
"AK2","grey","grey"
"AK3","green","black"
"AK4","grey","grey"
"AK5","grey","grey"
"AK8","purple","purple"
"AK9","yellow","black"
"AKAP1","grey","grey"
"AKAP10","blue","black"
"AKAP11","blue","black"
"AKAP12","salmon","salmon"
"AKAP13","turquoise","turquoise"
"AKAP14","grey","grey"
"AKAP17A","brown","pink"
"AKAP3","purple","purple"
"AKAP5","blue","black"
"AKAP7","turquoise","turquoise"
"AKAP8","grey","grey"
"AKAP8L","brown","pink"
"AKAP9","blue","black"
"AKIP1","grey","grey"
"AKIRIN1","grey","grey"
"AKIRIN2","turquoise","turquoise"
"AKNA","turquoise","turquoise"
"AKR1A1","grey","grey"
"AKR1B1","grey","grey"
"AKR1C1","grey","grey"
"AKR1C2","purple","purple"
"AKR1C3","grey","grey"
"AKR1E2","grey","grey"
"AKR7A2","grey","grey"
"AKR7A3","grey","grey"
"AKT1","magenta","pink"
"AKT1S1","magenta","pink"
"AKT2","brown","pink"
"AKT3","grey","grey"
"AKTIP","greenyellow","greenyellow"
"ALAD","purple","purple"
"ALAS1","grey","grey"
"ALAS2","purple","purple"
"ALCAM","grey","grey"
"ALDH16A1","magenta","pink"
"ALDH18A1","green","black"
"ALDH1A1","purple","purple"
"ALDH1A3","salmon","salmon"
"ALDH1B1","green","black"
"ALDH1L2","grey","grey"
"ALDH2","grey","grey"
"ALDH3A2","turquoise","turquoise"
"ALDH3B1","turquoise","turquoise"
"ALDH4A1","grey","grey"
"ALDH5A1","turquoise","turquoise"
"ALDH6A1","green","black"
"ALDH7A1","grey","grey"
"ALDH8A1","grey","grey"
"ALDH9A1","turquoise","turquoise"
"ALDOA","magenta","pink"
"ALDOB","grey","grey"
"ALDOC","grey","grey"
"ALG1","grey","grey"
"ALG10","red","black"
"ALG10B","yellow","black"
"ALG11","blue","black"
"ALG12","brown","pink"
"ALG13","blue","black"
"ALG14","grey","grey"
"ALG1L","grey","grey"
"ALG1L2","grey","grey"
"ALG2","grey","grey"
"ALG3","pink","pink"
"ALG5","grey","grey"
"ALG6","red","black"
"ALG8","grey","grey"
"ALG9","green","black"
"ALK","grey","grey"
"ALKBH1","red","black"
"ALKBH2","pink","pink"
"ALKBH3","grey","grey"
"ALKBH4","grey","grey"
"ALKBH5","grey","grey"
"ALKBH6","grey","grey"
"ALKBH7","tan","tan"
"ALKBH8","black","black"
"ALMS1","blue","black"
"ALOX12","grey","grey"
"ALOX12B","purple","purple"
"ALOX15","grey","grey"
"ALOX15B","grey","grey"
"ALOX5","turquoise","turquoise"
"ALOX5AP","turquoise","turquoise"
"ALPK1","blue","black"
"ALPK3","grey","grey"
"ALPL","salmon","salmon"
"ALS2","turquoise","turquoise"
"ALS2CL","grey","grey"
"ALX4","grey","grey"
"ALYREF","pink","pink"
"AMACR","grey","grey"
"AMBP","grey","grey"
"AMBRA1","grey","grey"
"AMD1","green","black"
"AMDHD1","grey","grey"
"AMDHD2","brown","pink"
"AMER1","green","black"
"AMFR","grey","grey"
"AMH","grey","grey"
"AMIGO1","grey","grey"
"AMIGO2","greenyellow","greenyellow"
"AMMECR1","purple","purple"
"AMMECR1L","green","black"
"AMN","grey","grey"
"AMN1","blue","black"
"AMOT","grey","grey"
"AMOTL1","grey","grey"
"AMOTL2","salmon","salmon"
"AMPD1","salmon","salmon"
"AMPD2","grey","grey"
"AMPD3","grey","grey"
"AMPH","grey","grey"
"AMT","grey","grey"
"AMY2B","grey","grey"
"AMZ1","grey","grey"
"AMZ2","grey","grey"
"ANAPC1","green","black"
"ANAPC10","magenta","pink"
"ANAPC11","magenta","pink"
"ANAPC13","grey","grey"
"ANAPC15","grey","grey"
"ANAPC16","grey","grey"
"ANAPC2","brown","pink"
"ANAPC4","yellow","black"
"ANAPC5","green","black"
"ANAPC7","turquoise","turquoise"
"ANG","turquoise","turquoise"
"ANGEL1","grey","grey"
"ANGEL2","red","black"
"ANGPT1","grey","grey"
"ANGPT2","lightcyan","lightcyan"
"ANGPTL1","lightcyan","lightcyan"
"ANGPTL2","salmon","salmon"
"ANGPTL3","lightcyan","lightcyan"
"ANGPTL4","salmon","salmon"
"ANGPTL6","grey","grey"
"ANGPTL7","lightcyan","lightcyan"
"ANK1","purple","purple"
"ANK3","grey","grey"
"ANKAR","blue","black"
"ANKDD1A","grey","grey"
"ANKDD1B","grey","grey"
"ANKEF1","grey","grey"
"ANKFY1","grey","grey"
"ANKH","grey","grey"
"ANKHD1","magenta","pink"
"ANKHD1-EIF4EBP3","magenta","pink"
"ANKIB1","blue","black"
"ANKK1","greenyellow","greenyellow"
"ANKLE1","grey","grey"
"ANKLE2","turquoise","turquoise"
"ANKMY1","grey","grey"
"ANKMY2","green","black"
"ANKRA2","yellow","black"
"ANKRD10","yellow","black"
"ANKRD11","grey","grey"
"ANKRD12","magenta","pink"
"ANKRD13A","tan","tan"
"ANKRD13B","pink","pink"
"ANKRD13C","blue","black"
"ANKRD13D","green","black"
"ANKRD16","pink","pink"
"ANKRD17","green","black"
"ANKRD18A","salmon","salmon"
"ANKRD18B","grey","grey"
"ANKRD22","turquoise","turquoise"
"ANKRD23","grey","grey"
"ANKRD24","grey","grey"
"ANKRD26","red","black"
"ANKRD27","turquoise","turquoise"
"ANKRD28","turquoise","turquoise"
"ANKRD33B","yellow","black"
"ANKRD34A","grey","grey"
"ANKRD35","grey","grey"
"ANKRD36","blue","black"
"ANKRD36B","blue","black"
"ANKRD37","grey","grey"
"ANKRD39","grey","grey"
"ANKRD40","grey","grey"
"ANKRD42","grey","grey"
"ANKRD44","pink","pink"
"ANKRD46","red","black"
"ANKRD49","blue","black"
"ANKRD50","grey","grey"
"ANKRD52","pink","pink"
"ANKRD53","grey","grey"
"ANKRD54","brown","pink"
"ANKRD55","grey","grey"
"ANKRD6","grey","grey"
"ANKRD61","blue","black"
"ANKRD63","grey","grey"
"ANKRD9","purple","purple"
"ANKS1A","grey","grey"
"ANKS3","pink","pink"
"ANKS6","grey","grey"
"ANKUB1","lightcyan","lightcyan"
"ANKZF1","brown","pink"
"ANLN","midnightblue","cyan"
"ANO10","grey","grey"
"ANO5","grey","grey"
"ANO6","turquoise","turquoise"
"ANO7","grey","grey"
"ANO8","brown","pink"
"ANO9","greenyellow","greenyellow"
"ANP32A","grey","grey"
"ANP32B","tan","tan"
"ANP32E","midnightblue","cyan"
"ANPEP","grey","grey"
"ANTXR1","salmon","salmon"
"ANTXR2","grey","grey"
"ANTXRL","grey","grey"
"ANXA1","grey","grey"
"ANXA10","grey","grey"
"ANXA11","grey","grey"
"ANXA2","turquoise","turquoise"
"ANXA2R","grey","grey"
"ANXA3","grey","grey"
"ANXA4","turquoise","turquoise"
"ANXA5","turquoise","turquoise"
"ANXA6","grey","grey"
"ANXA7","grey","grey"
"ANXA9","grey","grey"
"AOAH","turquoise","turquoise"
"AOC1","grey","grey"
"AOC2","grey","grey"
"AOC3","salmon","salmon"
"AOX1","grey","grey"
"AP1AR","red","black"
"AP1B1","grey","grey"
"AP1G1","blue","black"
"AP1G2","brown","pink"
"AP1M1","turquoise","turquoise"
"AP1S1","grey","grey"
"AP1S2","turquoise","turquoise"
"AP1S3","grey","grey"
"AP2A1","turquoise","turquoise"
"AP2A2","turquoise","turquoise"
"AP2B1","black","black"
"AP2M1","magenta","pink"
"AP2S1","blue","black"
"AP3B1","blue","black"
"AP3D1","brown","pink"
"AP3M1","black","black"
"AP3M2","green","black"
"AP3S1","grey","grey"
"AP3S2","grey","grey"
"AP4B1","grey","grey"
"AP4E1","blue","black"
"AP4M1","grey","grey"
"AP4S1","yellow","black"
"AP5B1","turquoise","turquoise"
"AP5M1","red","black"
"AP5S1","grey","grey"
"AP5Z1","brown","pink"
"APAF1","turquoise","turquoise"
"APBA1","grey","grey"
"APBA2","grey","grey"
"APBA3","brown","pink"
"APBB1","greenyellow","greenyellow"
"APBB1IP","turquoise","turquoise"
"APBB2","salmon","salmon"
"APBB3","brown","pink"
"APC","blue","black"
"APC2","grey","grey"
"APCDD1","grey","grey"
"APEH","pink","pink"
"APEX1","tan","tan"
"APEX2","pink","pink"
"APH1A","grey","grey"
"APH1B","grey","grey"
"API5","black","black"
"APIP","grey","grey"
"APLN","grey","grey"
"APLNR","salmon","salmon"
"APLP1","grey","grey"
"APLP2","turquoise","turquoise"
"APMAP","grey","grey"
"APOA1","grey","grey"
"APOA2","turquoise","turquoise"
"APOBEC2","grey","grey"
"APOBEC3A","turquoise","turquoise"
"APOBEC3B","midnightblue","cyan"
"APOBEC3C","grey","grey"
"APOBEC3D","grey","grey"
"APOBEC3F","grey","grey"
"APOBEC3G","greenyellow","greenyellow"
"APOBEC3H","grey","grey"
"APOBR","turquoise","turquoise"
"APOC1","purple","purple"
"APOC2","grey","grey"
"APOD","salmon","salmon"
"APOE","salmon","salmon"
"APOL1","grey","grey"
"APOL2","greenyellow","greenyellow"
"APOL3","greenyellow","greenyellow"
"APOL4","purple","purple"
"APOL6","grey","grey"
"APOLD1","grey","grey"
"APOM","grey","grey"
"APOO","grey","grey"
"APOOL","red","black"
"APP","grey","grey"
"APPBP2","red","black"
"APPL1","red","black"
"APPL2","blue","black"
"APRT","tan","tan"
"APTX","grey","grey"
"AQP1","purple","purple"
"AQP11","yellow","black"
"AQP3","grey","grey"
"AQP9","turquoise","turquoise"
"AQR","blue","black"
"AR","grey","grey"
"ARAF","magenta","pink"
"ARAP1","turquoise","turquoise"
"ARAP2","grey","grey"
"ARAP3","turquoise","turquoise"
"ARC","grey","grey"
"ARCN1","black","black"
"AREG","grey","grey"
"AREL1","grey","grey"
"ARF1","magenta","pink"
"ARF3","grey","grey"
"ARF4","grey","grey"
"ARF5","green","black"
"ARF6","turquoise","turquoise"
"ARFGAP1","brown","pink"
"ARFGAP2","brown","pink"
"ARFGAP3","grey","grey"
"ARFGEF1","blue","black"
"ARFGEF2","blue","black"
"ARFIP1","grey","grey"
"ARFIP2","brown","pink"
"ARFRP1","brown","pink"
"ARG1","grey","grey"
"ARG2","grey","grey"
"ARGLU1","yellow","black"
"ARHGAP1","magenta","pink"
"ARHGAP10","grey","grey"
"ARHGAP11A","midnightblue","cyan"
"ARHGAP11B","midnightblue","cyan"
"ARHGAP12","grey","grey"
"ARHGAP15","lightcyan","lightcyan"
"ARHGAP17","grey","grey"
"ARHGAP18","grey","grey"
"ARHGAP19","midnightblue","cyan"
"ARHGAP21","grey","grey"
"ARHGAP22","grey","grey"
"ARHGAP23","turquoise","turquoise"
"ARHGAP24","turquoise","turquoise"
"ARHGAP25","grey","grey"
"ARHGAP26","turquoise","turquoise"
"ARHGAP27","turquoise","turquoise"
"ARHGAP30","turquoise","turquoise"
"ARHGAP31","turquoise","turquoise"
"ARHGAP32","grey","grey"
"ARHGAP33","brown","pink"
"ARHGAP35","green","black"
"ARHGAP39","grey","grey"
"ARHGAP4","turquoise","turquoise"
"ARHGAP42","purple","purple"
"ARHGAP44","grey","grey"
"ARHGAP5","grey","grey"
"ARHGAP6","purple","purple"
"ARHGAP9","turquoise","turquoise"
"ARHGDIA","magenta","pink"
"ARHGDIB","grey","grey"
"ARHGDIG","grey","grey"
"ARHGEF1","turquoise","turquoise"
"ARHGEF10","grey","grey"
"ARHGEF10L","turquoise","turquoise"
"ARHGEF11","turquoise","turquoise"
"ARHGEF12","purple","purple"
"ARHGEF16","turquoise","turquoise"
"ARHGEF17","grey","grey"
"ARHGEF18","grey","grey"
"ARHGEF19","brown","pink"
"ARHGEF2","grey","grey"
"ARHGEF25","purple","purple"
"ARHGEF26","grey","grey"
"ARHGEF3","turquoise","turquoise"
"ARHGEF33","grey","grey"
"ARHGEF37","purple","purple"
"ARHGEF38","grey","grey"
"ARHGEF39","midnightblue","cyan"
"ARHGEF40","turquoise","turquoise"
"ARHGEF5","grey","grey"
"ARHGEF6","grey","grey"
"ARHGEF7","grey","grey"
"ARHGEF9","green","black"
"ARID1A","grey","grey"
"ARID1B","green","black"
"ARID2","lightcyan","lightcyan"
"ARID3A","turquoise","turquoise"
"ARID3B","grey","grey"
"ARID4A","magenta","pink"
"ARID4B","blue","black"
"ARID5A","brown","pink"
"ARID5B","grey","grey"
"ARIH1","red","black"
"ARIH2","grey","grey"
"ARIH2OS","grey","grey"
"ARL1","black","black"
"ARL10","grey","grey"
"ARL11","grey","grey"
"ARL13A","yellow","black"
"ARL13B","red","black"
"ARL14EP","red","black"
"ARL15","grey","grey"
"ARL16","grey","grey"
"ARL17A","grey","grey"
"ARL2","magenta","pink"
"ARL2BP","grey","grey"
"ARL3","grey","grey"
"ARL4A","grey","grey"
"ARL4C","greenyellow","greenyellow"
"ARL4D","grey","grey"
"ARL5A","red","black"
"ARL5B","blue","black"
"ARL5C","grey","grey"
"ARL6","grey","grey"
"ARL6IP1","midnightblue","cyan"
"ARL6IP4","brown","pink"
"ARL6IP5","grey","grey"
"ARL6IP6","grey","grey"
"ARL8A","green","black"
"ARL8B","grey","grey"
"ARL9","grey","grey"
"ARMC1","red","black"
"ARMC10","black","black"
"ARMC12","grey","grey"
"ARMC2","grey","grey"
"ARMC5","pink","pink"
"ARMC6","pink","pink"
"ARMC7","grey","grey"
"ARMC8","lightcyan","lightcyan"
"ARMC9","turquoise","turquoise"
"ARMCX1","grey","grey"
"ARMCX2","greenyellow","greenyellow"
"ARMCX3","grey","grey"
"ARMCX4","grey","grey"
"ARMCX5","green","black"
"ARMCX6","grey","grey"
"ARMT1","brown","pink"
"ARNT","tan","tan"
"ARNTL","turquoise","turquoise"
"ARNTL2","grey","grey"
"ARPC1A","grey","grey"
"ARPC1B","turquoise","turquoise"
"ARPC2","turquoise","turquoise"
"ARPC3","turquoise","turquoise"
"ARPC4","yellow","black"
"ARPC4-TTLL3","grey","grey"
"ARPC5","turquoise","turquoise"
"ARPC5L","grey","grey"
"ARPIN","turquoise","turquoise"
"ARPP19","black","black"
"ARR3","grey","grey"
"ARRB1","grey","grey"
"ARRB2","turquoise","turquoise"
"ARRDC1","magenta","pink"
"ARRDC2","grey","grey"
"ARRDC3","grey","grey"
"ARRDC4","grey","grey"
"ARRDC5","grey","grey"
"ARSA","magenta","pink"
"ARSB","turquoise","turquoise"
"ARSD","grey","grey"
"ARSE","grey","grey"
"ARSG","turquoise","turquoise"
"ARSK","green","black"
"ART1","grey","grey"
"ART4","purple","purple"
"ARTN","grey","grey"
"ARV1","grey","grey"
"ARVCF","grey","grey"
"ASAH1","turquoise","turquoise"
"ASAP1","turquoise","turquoise"
"ASAP2","grey","grey"
"ASAP3","grey","grey"
"ASB1","grey","grey"
"ASB12","grey","grey"
"ASB13","grey","grey"
"ASB14","lightcyan","lightcyan"
"ASB16","grey","grey"
"ASB2","turquoise","turquoise"
"ASB3","lightcyan","lightcyan"
"ASB6","brown","pink"
"ASB7","red","black"
"ASB8","grey","grey"
"ASB9","grey","grey"
"ASCC1","grey","grey"
"ASCC2","brown","pink"
"ASCC3","blue","black"
"ASCL2","grey","grey"
"ASCL3","grey","grey"
"ASF1A","red","black"
"ASF1B","midnightblue","cyan"
"ASGR1","turquoise","turquoise"
"ASGR2","turquoise","turquoise"
"ASH1L","blue","black"
"ASH2L","green","black"
"ASIC1","grey","grey"
"ASIC3","grey","grey"
"ASIP","grey","grey"
"ASL","grey","grey"
"ASMT","grey","grey"
"ASMTL","grey","grey"
"ASNS","turquoise","turquoise"
"ASNSD1","black","black"
"ASPDH","grey","grey"
"ASPH","grey","grey"
"ASPHD1","grey","grey"
"ASPHD2","turquoise","turquoise"
"ASPM","midnightblue","cyan"
"ASPN","cyan","cyan"
"ASPRV1","grey","grey"
"ASPSCR1","brown","pink"
"ASRGL1","grey","grey"
"ASS1","grey","grey"
"ASTE1","yellow","black"
"ASTL","grey","grey"
"ASTN2","grey","grey"
"ASXL1","turquoise","turquoise"
"ASXL2","blue","black"
"ATAD1","green","black"
"ATAD2","cyan","cyan"
"ATAD2B","blue","black"
"ATAD3A","pink","pink"
"ATAD3B","pink","pink"
"ATAD3C","grey","grey"
"ATAD5","cyan","cyan"
"ATAT1","turquoise","turquoise"
"ATE1","red","black"
"ATF1","red","black"
"ATF2","blue","black"
"ATF3","grey","grey"
"ATF4","grey","grey"
"ATF5","grey","grey"
"ATF6","black","black"
"ATF6B","brown","pink"
"ATF7","grey","grey"
"ATF7IP","blue","black"
"ATF7IP2","grey","grey"
"ATG10","grey","grey"
"ATG101","magenta","pink"
"ATG12","red","black"
"ATG13","grey","grey"
"ATG14","yellow","black"
"ATG16L1","grey","grey"
"ATG16L2","grey","grey"
"ATG2A","magenta","pink"
"ATG2B","blue","black"
"ATG3","turquoise","turquoise"
"ATG4A","purple","purple"
"ATG4B","brown","pink"
"ATG4C","black","black"
"ATG4D","magenta","pink"
"ATG5","black","black"
"ATG7","turquoise","turquoise"
"ATG9A","grey","grey"
"ATG9B","grey","grey"
"ATIC","green","black"
"ATL1","grey","grey"
"ATL2","green","black"
"ATL3","brown","pink"
"ATM","blue","black"
"ATMIN","black","black"
"ATN1","grey","grey"
"ATOX1","grey","grey"
"ATP10A","grey","grey"
"ATP10D","grey","grey"
"ATP11A","grey","grey"
"ATP11B","grey","grey"
"ATP11C","blue","black"
"ATP13A1","brown","pink"
"ATP13A2","grey","grey"
